,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.8355036377906799,0.8853305578231812,0.372113972902298,0.84375,0.9306327104568481,0.37733733654022217
1,0.90625,0.8830127716064453,0.29880398511886597,0.8958333134651184,0.9722222089767456,0.3027428984642029
2,0.8948678374290466,0.954343318939209,0.24681581556797028,0.875,0.9439611434936523,0.3154829740524292
3,0.875,0.9336670637130737,0.2865985035896301,0.9166666865348816,0.96875,0.23783518373966217
4,0.9107621312141418,0.9644792675971985,0.2164611965417862,0.8802083134651184,0.9485916495323181,0.29470518231391907
5,0.9375,0.9927884340286255,0.1367892622947693,0.9791666865348816,1.0,0.20042622089385986
6,0.9188050627708435,0.9703590869903564,0.1983470767736435,0.8628472089767456,0.953589677810669,0.33796894550323486
7,0.84375,0.9902597069740295,0.21450436115264893,0.9583333134651184,0.9858585596084595,0.18670065701007843
8,0.9184220433235168,0.9694502353668213,0.19595055282115936,0.9079861044883728,0.9547767639160156,0.2696896493434906
9,0.96875,0.9949937462806702,0.11716843396425247,0.9583333134651184,0.9727767705917358,0.21967434883117676
10,0.9278054237365723,0.9728578925132751,0.18414032459259033,0.9201388955116272,0.9595381021499634,0.25459039211273193
11,0.984375,0.9987484216690063,0.11569353938102722,0.8958333134651184,0.9410713911056519,0.2997678518295288
12,0.9356568455696106,0.976973295211792,0.17223785817623138,0.8888888955116272,0.9601911306381226,0.26144522428512573
13,0.890625,0.9693366289138794,0.18675696849822998,0.9583333134651184,0.9479166269302368,0.22110438346862793
